x,y
2.464699686526680580e+02,2.343546773386693260e+00
2.478040527801589405e+02,2.337066774593326901e+00
2.491381369076498231e+02,1.640491099821267396e+00
2.504722210351407057e+02,1.749982403261932440e+00
2.518063051626315882e+02,1.632691345672836469e+00
2.531403892901224708e+02,1.652826413206603284e+00
2.544744734176133534e+02,1.998056817353400128e+00
2.558085575451042359e+02,1.999095024899384399e+00
2.571426416725951185e+02,1.735711448689169156e+00
2.584767258000860011e+02,1.997748874437218491e+00
2.598108099275768836e+02,1.741632751048893146e+00
2.611448940550677662e+02,1.976821953690413247e+00
2.624789781825586488e+02,1.493443958159985652e+00
2.638130623100495313e+02,1.509949698467310419e+00
2.651471464375404139e+02,1.453688527680926157e+00
2.664812305650312965e+02,1.836272407560560094e+00
2.678153146925221790e+02,1.825973916606534075e+00
2.691493988200130616e+02,1.623954565222223367e+00
2.704834829475039442e+02,1.998905859965158793e+00
2.718175670749948267e+02,1.929649498115892259e+00
2.731516512024857093e+02,1.921040294016295391e+00
2.744857353299765919e+02,3.020260130065032467e+00
2.758198194574674176e+02,1.994308712145016926e+00
2.771539035849583001e+02,1.998421949668301556e+00
2.784879877124491827e+02,1.956466926930806816e+00
2.798220718399400653e+02,3.020656056671552125e+00
2.811561559674309478e+02,2.070410205102551249e+00
2.824902400949218304e+02,2.103104944432014900e+00
2.838243242224127130e+02,2.791726893597642700e+00
2.851584083499035955e+02,2.137867300484413313e+00
2.864924924773944781e+02,2.166686358254505063e+00
2.878265766048853607e+02,2.276468007873238886e+00
2.891606607323763001e+02,2.222309647285957368e+00
2.904947448598671258e+02,3.027844324172136226e+00
2.918288289873580084e+02,2.258998846156746954e+00
2.931629131148488909e+02,3.068123257608703636e+00
2.944969972423397735e+02,3.030769781875862101e+00
2.958310813698306561e+02,1.413053260298496649e+00
2.971651654973215386e+02,3.191845922961480841e+00
2.984992496248124212e+02,3.181340670335167431e+00
